,molecule,molecule_smiles,fraga,fraga_smiles,fragb,fragb_smiles
0,x0678,O=C(CC1CCCCC1)Nc1cccnc1,x0107,CC(=O)Nc1cnccc1C,x0678t,NC(=O)CC1CCCCC1
1,x2569,N#Cc1cncc(CC(=O)Nc2cccnc2)c1,x0305,CCNc1ccc(C#N)cn1,x2569t,NC(=O)Cc1cccnc1
2,x2572,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,x0107,CC(=O)Nc1cnccc1C,x2572t,N#Cc1cccc(CC(N)=O)c1
3,x2608,Cc1ccc(NC(=O)Nc2cccnc2)s1,x0434,O=C(Nc1ccccc1)Nc1cccnc1,x2608t,Cc1ccc(NC(N)=O)s1
4,x2643,O=C(Cc1ccc(Cl)s1)Nc1cccnc1,x0678,O=C(CC1CCCCC1)Nc1cccnc1,x2643t,NC(=O)Cc1ccc(Cl)s1
5,x2649,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,x0107,CC(=O)Nc1cnccc1C,x2649t,CC(C(N)=O)c1cccc(Cl)c1
6,x2908,Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,x0107,CC(=O)Nc1cnccc1C,x2908t,NC(=O)Nc1cccc(Cl)c1
7,x2912,Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,x0107,CC(=O)Nc1cnccc1C,x2912t,CC(C(N)=O)c1cccc(C#N)c1
8,x3080,Cc1ccncc1NC(=O)CN(C)S(=O)(=O)c1cccc2cccnc12,x0107,CC(=O)Nc1cnccc1C,x3080t,CN(CC(N)=O)S(=O)(=O)c1cccc2cccnc12
9,x2600,N#Cc1cccc(CC(=O)Nc2cccnc2)c1,x0678,O=C(CC1CCCCC1)Nc1cccnc1,x1249,N#Cc1ccc(CNC(=O)N2CCOCC2)cc1
10,x11812,O=C(c1cncc2ccccc12)N1CCN(c2ccccc2)CC1,x10959,O=C(Cc1cccc(Cl)c1)Nc1cncc2ccccc12,x3303,O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2ccccc2)CC1
11,x2646,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,x0107,CC(=O)Nc1cnccc1C,x1382,CC(NC(=O)CCl)c1cccc(Cl)c1
